,ProdTaken,Age,CityTier,Gender,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisited,MonthlyIncome,NumberofAdultVisited,TypeofContact_Company Invited,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,ProductPitched_Basic,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_AVP,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
11,0,37.0,1,0,4.0,3.0,1.0,1,3,0,0.0,22643.15762925599,2.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
12,0,31.0,1,1,3.0,3.0,2.0,0,3,0,1.0,17911.0,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
13,0,34.0,1,1,3.0,3.0,1.0,0,3,0,2.0,17661.0,1.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
14,1,28.0,1,1,4.0,3.0,6.0,1,2,0,0.0,17028.0,2.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
15,0,29.0,1,0,2.0,5.0,2.0,0,5,1,1.0,24980.0,1.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
16,0,32.0,1,1,2.0,4.0,1.0,1,2,1,0.0,18298.0,3.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
17,0,22.0,1,1,2.0,3.0,2.0,1,3,0,0.0,17935.0,3.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
18,0,53.0,3,0,4.0,3.0,3.0,0,3,1,0.0,30427.0,3.0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
19,0,33.0,1,1,3.0,3.0,6.0,1,4,0,1.0,19939.92250712251,1.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
20,0,37.0,1,0,2.0,3.0,1.0,0,3,1,2.0,22643.15762925599,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
21,1,37.0,3,1,4.0,5.0,1.0,0,2,0,0.0,18407.0,2.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
22,0,34.0,1,0,3.0,4.0,1.0,0,3,1,0.0,26994.0,2.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
23,0,21.0,1,1,3.0,3.0,2.0,0,3,1,1.0,16232.0,2.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
24,1,34.0,1,1,3.0,5.0,3.0,0,2,1,1.0,17960.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
25,0,53.0,1,0,3.0,3.0,5.0,0,5,0,1.0,34094.0,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
26,1,33.0,1,0,5.0,5.0,2.0,1,4,1,2.0,19939.92250712251,1.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
27,0,42.0,3,1,3.0,4.0,1.0,0,3,0,1.0,21825.0,1.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
28,0,44.0,1,0,4.0,3.0,4.0,0,4,1,0.0,25248.0,2.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
29,0,46.0,3,0,3.0,5.0,4.0,0,2,0,1.0,33947.0,1.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
30,0,33.0,1,1,3.0,3.0,5.0,0,3,1,2.0,17496.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
31,0,44.0,1,1,3.0,3.0,3.0,1,3,1,1.0,21465.0,1.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
32,0,30.0,1,1,4.0,3.0,2.0,0,4,1,1.0,17206.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
33,1,39.0,3,1,3.0,3.0,4.0,0,2,0,1.0,17086.0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
34,1,24.0,1,1,3.0,3.0,3.0,1,3,1,2.0,17293.0,1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
35,0,43.0,1,0,2.0,3.0,2.0,0,2,0,1.0,17645.0,2.0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
36,1,50.0,3,1,4.0,3.0,2.0,1,4,0,0.0,17683.0,2.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
37,0,35.0,3,0,3.0,3.0,2.0,0,2,1,0.0,17014.0,3.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
39,0,33.0,3,0,2.0,5.0,3.0,0,3,1,0.0,20376.0,2.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
40,0,35.0,1,1,3.0,3.0,2.0,0,4,0,0.0,16951.0,3.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
41,0,27.0,1,0,3.0,5.0,2.0,0,3,0,1.0,17341.0,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
42,1,26.0,1,1,5.0,3.0,2.0,0,2,1,1.0,17293.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
43,0,27.0,3,1,3.0,3.0,2.0,0,2,1,0.0,23726.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
44,0,37.0,1,0,3.0,3.0,2.0,0,3,1,0.0,22643.15762925599,2.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
45,1,41.0,1,0,3.0,3.0,2.0,0,4,1,0.0,34545.0,2.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
46,0,34.0,3,1,3.0,3.0,1.0,0,5,1,1.0,19568.0,2.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
47,0,37.0,1,1,3.0,4.0,5.0,0,4,1,1.0,18022.0,2.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
48,0,46.0,3,1,3.0,3.0,5.0,1,5,1,1.0,20772.0,2.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
49,0,35.0,1,1,2.0,3.0,2.0,0,5,1,1.0,17269.0,1.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
50,1,48.0,1,1,4.0,3.0,1.0,1,5,0,2.0,20381.0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
51,1,33.0,1,1,3.0,3.0,2.0,1,2,1,0.0,18441.0,2.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
52,0,44.0,3,0,3.0,5.0,6.0,1,2,0,0.0,20454.0,3.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
53,0,35.0,1,1,4.0,5.0,3.0,1,5,1,1.0,24884.0,2.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
54,0,37.0,3,0,4.0,3.0,1.0,1,2,1,0.0,22643.15762925599,2.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
55,0,33.0,1,0,3.0,3.0,2.0,1,2,1,0.0,28458.0,3.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
56,0,35.0,3,1,3.0,5.0,2.0,0,4,1,0.0,24069.0,3.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
57,0,33.0,1,0,3.0,5.0,4.0,1,4,1,0.0,19939.92250712251,1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
58,0,31.0,1,1,3.0,3.0,4.0,0,3,1,0.0,20915.0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
59,0,37.0,1,1,4.0,3.0,2.0,0,5,1,1.0,20993.0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
60,0,32.0,1,1,3.0,3.0,2.0,1,4,1,0.0,21162.0,2.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
61,0,38.0,1,0,3.0,3.0,2.0,0,3,1,0.0,17406.0,2.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
62,0,50.0,1,0,4.0,3.0,6.0,1,4,1,1.0,33740.0,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
63,0,59.0,3,0,3.0,5.0,1.0,0,3,1,0.0,22637.0,2.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
64,0,36.0,1,0,3.0,3.0,2.0,0,4,1,1.0,25096.0,1.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
65,0,55.0,1,0,3.0,3.0,3.0,1,3,0,1.0,29756.0,1.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
66,0,36.0,1,1,4.0,4.0,2.0,0,4,1,1.0,21499.0,2.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
67,0,45.0,1,1,3.0,5.0,3.0,0,3,1,1.0,24724.0,1.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
68,0,35.0,1,1,3.0,5.0,5.0,0,2,0,1.0,17194.0,2.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
69,1,33.0,1,1,4.0,3.0,1.0,1,2,0,1.0,18388.0,2.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
70,0,59.0,3,0,4.0,3.0,1.0,0,5,1,1.0,20473.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
71,0,29.0,1,1,3.0,4.0,1.0,0,4,0,0.0,17703.0,3.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
72,0,31.0,1,1,3.0,4.0,2.0,0,3,0,0.0,17501.0,2.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
73,0,32.0,1,1,3.0,4.0,2.0,0,3,0,0.0,21220.0,3.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
74,0,36.0,1,0,2.0,3.0,4.0,0,2,0,0.0,18038.0,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
75,0,31.0,1,0,3.0,3.0,2.0,0,5,0,1.0,22643.15762925599,2.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
76,0,35.0,3,1,4.0,5.0,1.0,0,2,0,1.0,22643.15762925599,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
77,0,45.0,1,1,3.0,5.0,5.0,1,3,0,0.0,28245.0,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
78,0,37.0,1,1,3.0,3.0,5.0,0,2,0,0.0,28664.0,1.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
79,0,46.0,2,1,4.0,4.0,1.0,1,5,0,1.0,20021.0,2.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
80,0,30.0,1,1,4.0,3.0,2.0,1,2,1,1.0,20126.0,1.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
81,0,35.0,1,1,4.0,3.0,2.0,0,4,1,0.0,17859.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
82,0,55.0,3,1,3.0,3.0,4.0,0,2,0,1.0,25239.0,2.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
83,0,38.0,1,0,5.0,3.0,1.0,1,2,0,2.0,20329.0,1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
84,0,34.0,1,1,3.0,4.0,2.0,0,5,0,0.0,22643.15762925599,3.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
85,0,56.0,1,1,5.0,3.0,5.0,0,2,0,0.0,22260.0,2.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
86,0,23.0,3,1,3.0,5.0,4.0,0,3,1,1.0,17322.0,2.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
87,0,51.0,1,1,3.0,3.0,4.0,0,3,1,0.0,17075.0,3.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
88,0,37.0,1,1,4.0,3.0,2.0,0,4,1,0.0,22643.15762925599,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
89,1,46.0,3,1,4.0,3.0,2.0,0,5,0,1.0,24619.0,2.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
90,0,40.0,1,1,4.0,4.0,2.0,0,2,1,2.0,28503.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
91,0,51.0,3,1,3.0,3.0,1.0,1,5,1,1.0,20441.0,2.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
92,0,30.0,3,0,4.0,4.0,2.0,1,3,1,1.0,20209.0,2.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
93,0,46.0,1,1,4.0,5.0,3.0,1,2,1,1.0,25673.0,1.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
94,0,32.0,3,1,4.0,3.0,2.0,0,5,1,0.0,20010.0,2.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
95,0,54.0,1,0,3.0,3.0,1.0,0,4,1,0.0,28549.0,2.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
96,0,24.0,3,0,4.0,3.0,1.0,0,4,1,0.0,19999.0,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
97,0,37.0,3,1,3.0,3.0,2.0,0,2,1,0.0,22643.15762925599,2.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
98,0,58.0,3,1,3.0,3.0,1.0,0,3,1,1.0,28872.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
99,0,44.0,1,1,3.0,4.0,5.0,0,3,1,0.0,17042.0,3.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
100,1,37.0,2,1,3.0,5.0,5.0,1,2,1,0.0,17073.0,3.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
101,0,32.0,1,1,3.0,5.0,2.0,0,2,0,2.0,17956.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
102,1,20.0,1,0,4.0,3.0,2.0,1,2,1,1.0,17926.0,2.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
103,0,34.0,1,0,3.0,3.0,2.0,0,3,1,0.0,19809.0,2.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
104,0,37.0,1,1,4.0,3.0,6.0,0,2,0,1.0,20163.0,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
105,0,59.0,2,0,4.0,3.0,1.0,0,2,1,1.0,33844.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
106,0,50.0,1,0,3.0,4.0,4.0,1,2,0,2.0,33172.0,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
107,1,25.0,3,1,4.0,3.0,2.0,1,3,1,0.0,20744.0,2.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
108,0,25.0,1,1,4.0,3.0,2.0,0,2,1,2.0,17889.0,1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
109,0,22.0,1,0,3.0,3.0,2.0,0,2,1,1.0,17871.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
110,0,51.0,1,0,4.0,5.0,4.0,0,2,1,0.0,22484.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
111,1,34.0,1,1,5.0,3.0,2.0,1,5,1,1.0,21074.0,2.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
112,0,54.0,2,0,2.0,3.0,3.0,1,3,1,0.0,32328.0,1.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
113,0,24.0,1,1,3.0,3.0,1.0,0,4,1,0.0,17774.0,2.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
114,0,34.0,1,0,4.0,4.0,7.0,0,3,0,1.0,19505.0,1.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
115,0,37.0,3,1,3.0,3.0,3.0,0,3,0,0.0,22428.0,2.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
116,0,34.0,1,0,4.0,5.0,3.0,0,2,0,0.0,26631.0,2.0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
117,0,36.0,3,0,3.0,3.0,1.0,0,5,0,0.0,24738.0,3.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
118,0,36.0,1,0,3.0,3.0,6.0,0,2,1,0.0,17835.0,2.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
119,0,43.0,3,1,3.0,3.0,2.0,1,2,0,0.0,31959.0,3.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
120,0,30.0,1,1,5.0,3.0,2.0,0,3,1,2.0,17613.0,1.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
121,0,33.0,3,1,3.0,4.0,1.0,0,2,0,1.0,21146.0,2.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
122,1,56.0,1,0,4.0,4.0,1.0,1,5,1,1.0,19963.0,2.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
123,0,51.0,1,1,3.0,3.0,1.0,0,5,1,0.0,34537.0,2.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
124,1,31.0,3,1,5.0,3.0,5.0,1,3,1,1.0,21172.0,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
125,0,26.0,1,0,4.0,4.0,2.0,0,3,1,0.0,17368.0,2.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
126,1,58.0,1,0,3.0,3.0,2.0,0,3,1,0.0,25312.0,3.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
127,1,19.0,3,1,3.0,3.0,2.0,1,2,0,1.0,16675.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
128,0,22.0,1,1,3.0,3.0,1.0,0,5,1,2.0,17523.0,1.0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
129,0,49.0,1,0,3.0,5.0,2.0,0,2,1,2.0,21567.0,1.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
130,0,43.0,1,0,2.0,3.0,5.0,0,3,0,2.0,19739.0,1.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
131,0,50.0,3,0,3.0,3.0,5.0,0,5,0,0.0,24208.0,3.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
132,1,31.0,3,0,5.0,3.0,4.0,1,3,1,0.0,19559.0,3.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
133,0,41.0,3,1,3.0,3.0,4.0,1,2,0,1.0,23189.0,2.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
134,0,26.0,2,0,3.0,3.0,2.0,0,4,1,0.0,17942.0,3.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
135,0,36.0,1,1,4.0,4.0,7.0,0,4,1,1.0,19941.0,1.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
136,1,51.0,1,1,5.0,3.0,3.0,0,2,0,1.0,25650.0,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
137,0,39.0,3,0,4.0,3.0,5.0,0,5,1,0.0,20902.0,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
138,0,25.0,3,1,4.0,3.0,3.0,0,4,0,0.0,23639.0,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
139,0,30.0,2,1,3.0,3.0,1.0,1,3,1,1.0,21347.0,1.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
140,1,33.0,1,0,3.0,5.0,1.0,0,4,1,1.0,19939.92250712251,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
141,0,33.0,1,1,3.0,3.0,6.0,0,2,1,0.0,18452.0,2.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
143,0,30.0,1,0,3.0,3.0,2.0,0,2,1,0.0,17632.0,3.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
144,0,32.0,3,1,5.0,3.0,1.0,0,2,0,1.0,19668.0,1.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
145,0,30.0,1,0,3.0,5.0,6.0,0,5,1,1.0,18204.0,1.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
146,0,30.0,1,1,4.0,3.0,1.0,0,4,0,0.0,17720.0,2.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
147,0,41.0,1,1,4.0,5.0,5.0,0,2,1,0.0,32181.0,3.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
148,0,41.0,1,1,3.0,5.0,3.0,0,2,0,2.0,17238.0,1.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
149,0,19.0,1,0,3.0,4.0,2.0,0,3,1,2.0,16483.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
150,0,40.0,1,0,3.0,4.0,2.0,0,2,1,0.0,20605.0,2.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
151,0,35.0,3,1,3.0,4.0,2.0,0,4,1,2.0,22295.0,1.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
152,0,53.0,3,1,3.0,3.0,3.0,1,5,0,0.0,17306.0,2.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
153,0,45.0,1,1,3.0,4.0,1.0,0,4,1,0.0,17348.0,2.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
154,0,32.0,3,0,3.0,3.0,2.0,0,4,1,1.0,23998.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
155,0,29.0,1,1,3.0,3.0,2.0,0,3,0,1.0,22643.15762925599,1.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
156,0,51.0,1,1,4.0,3.0,3.0,0,3,1,1.0,21132.0,1.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
157,0,58.0,1,0,4.0,4.0,5.0,1,2,1,0.0,18346.0,3.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
158,0,40.0,3,1,4.0,3.0,1.0,0,2,1,0.0,25855.0,3.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
159,0,34.0,3,0,3.0,3.0,7.0,0,5,1,2.0,17231.0,1.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
160,0,22.0,1,1,3.0,3.0,2.0,0,2,0,1.0,17323.0,2.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
161,0,27.0,1,1,3.0,4.0,7.0,0,3,0,0.0,17024.0,2.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
162,0,28.0,1,1,3.0,3.0,2.0,0,2,0,0.0,17713.0,2.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
163,0,57.0,1,1,2.0,3.0,4.0,1,4,1,1.0,24439.0,1.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
164,0,27.0,1,1,4.0,3.0,2.0,1,2,0,2.0,17566.0,1.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
166,0,41.0,1,1,3.0,3.0,5.0,0,4,1,1.0,17451.0,1.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
167,0,30.0,3,0,3.0,3.0,3.0,0,4,1,1.0,24419.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
